t         	x[0]               	x[1]

0.075       	1.26111          	0.928071
0.15       	0.958931          	0.746607
0.225       	0.744291          	0.585578
0.3       	0.582763          	0.463221
0.375       	0.460012          	0.370722
0.45       	0.365984          	0.300435
0.525       	0.293265          	0.24663
0.6       	0.236366          	0.20506
0.675       	0.191228          	0.172572
0.75       	0.154846          	0.14683
0.825       	0.125002          	0.126104
0.9       	0.100058          	0.109113
0.975       	0.0788131          	0.0949141
1.05       	0.060387          	0.0828139
1.125       	0.0441412          	0.0723081
1.2       	0.0296166          	0.0630328
1.275       	0.0164881          	0.0547291
1.35       	0.00453022          	0.0472167
1.425       	-0.00640838          	0.0403734
1.5       	-0.0164248          	0.0341201

t         	x[0]         	x[1]

0.075     	2.4701       	-2.27759
0.15     	-2.28202       	6.63614
0.225     	6.63309       	-11.6395
0.3     	-11.6428       	24.5744
0.375     	24.5696       	-48.1085
0.45     	-48.1157       	97.0632
0.525     	97.0529       	-193.429
0.6     	-193.443       	387.44
0.675     	387.422       	-774.389
0.75     	-774.411       	1549.2
0.825     	1549.17       	-3098.03
0.9     	-3098.06       	6196.38
0.975     	6196.34       	-12392.5
1.05     	-12392.5       	24785.2
1.125     	24785.2       	-49570.2
1.2     	-49570.3       	99140.6
1.275     	99140.5       	-198281
1.35     	-198281       	396562
1.425     	396562       	-793124
1.5     	-793124       	1.58625e+06

t             	x[0]             	x[1]

0.075     	1.22392       	0.913278
0.15     	0.934483       	0.728629
0.225     	0.726037       	0.571732
0.3     	0.568933       	0.45277
0.375     	0.449455       	0.362805
0.45     	0.357856       	0.294396
0.525     	0.286939       	0.241984
0.6     	0.23138       	0.201448
0.675     	0.187238       	0.169728
0.75     	0.151599       	0.144556
0.825     	0.12231       	0.124255
0.9     	0.0977846       	0.10758
0.975     	0.0768567       	0.0936179
1.05     	0.0586742       	0.0816968
1.125     	0.0426187       	0.0713281
1.2     	0.0282465       	0.0621599
1.275     	0.0152439       	0.0539422
1.35     	0.00339387       	0.0465012
1.425     	-0.00744885       	0.0397197
1.5     	-0.0173767       	0.0335223
